Date,CurrentConfirmedCount,ConfirmedCount,SuspectedCount,CuredCount,DeadCount
2020-01-24,,866.0,2.0,35.0,26.0
2020-01-25,,1324.0,20.0,38.0,41.0
2020-01-26,,2019.0,0.0,48.0,55.0
2020-01-27,,2838.0,0.0,59.0,82.0
2020-01-28,,4630.0,0.0,73.0,106.0
2020-01-29,,6086.0,1.0,118.0,132.0
2020-01-30,,8149.0,0.0,135.0,171.0
2020-01-31,,9811.0,0.0,185.0,213.0
2020-02-01,,11901.0,0.0,275.0,259.0
2020-02-02,,14490.0,19544.0,434.0,304.0
2020-02-03,,17341.0,0.0,527.0,361.0
2020-02-04,,20530.0,2.0,718.0,426.0
2020-02-05,,24434.0,0.0,1018.0,493.0
2020-02-06,,28138.0,0.0,1373.0,564.0
2020-02-07,,31264.0,166.0,1753.0,637.0
2020-02-08,,34673.0,0.0,2375.0,724.0
2020-02-09,,37289.0,23638.0,2900.0,813.0
2020-02-10,,40262.0,0.0,3551.0,909.0
2020-02-11,,42747.0,0.0,4301.0,1017.0
2020-02-12,,44765.0,0.0,5066.0,1116.0
2020-02-13,,59907.0,0.0,6215.0,1368.0
2020-02-14,55476,63950.0,0.0,7092.0,1382.0
2020-02-15,56563,66581.0,0.0,8494.0,1524.0
2020-02-16,57165,68595.0,0.0,9763.0,1667.0
2020-02-17,57594,70644.0,0.0,11278.0,1772.0
2020-02-18,57657,72532.0,0.0,13003.0,1872.0
2020-02-19,57337,74284.0,0.0,14938.0,2009.0
2020-02-20,55837,74680.0,0.0,16721.0,2122.0
2020-02-21,54645,75571.0,0.0,18687.0,2239.0
2020-02-22,52973,76396.0,0.0,21075.0,2348.0
2020-02-23,51420,77048.0,0.0,23183.0,2445.0
2020-02-24,49666,77269.0,0.0,25007.0,2596.0
2020-02-25,47464,77785.0,0.0,27655.0,2666.0
2020-02-26,45399,78196.0,0.0,30078.0,2718.0
2020-02-27,42968,78631.0,0.0,32916.0,2747.0
2020-02-28,39859,78962.0,0.0,36312.0,2791.0
2020-02-29,37248,79394.0,0.0,39308.0,2838.0
2020-03-01,34937,79972.0,0.0,42162.0,2873.0
2020-03-02,32415,80175.0,0.0,44845.0,2915.0
2020-03-03,29921,80303.0,0.0,47434.0,2948.0
2020-03-04,27454,80424.0,0.0,49986.0,2984.0
2020-03-05,25272,80581.0,0.0,52293.0,3016.0
2020-03-06,23733,80734.0,0.0,53956.0,3045.0
2020-03-07,22196,80815.0,0.0,55546.0,3073.0
2020-03-08,20367,80868.0,0.0,57400.0,3101.0
2020-03-09,18969,80905.0,0.0,58812.0,3124.0
2020-03-10,17607,80932.0,0.0,60185.0,3140.0
2020-03-11,16151,80969.0,0.0,61656.0,3162.0
2020-03-12,14896,80981.0,0.0,62912.0,3173.0
2020-03-13,13600,80995.0,0.0,64214.0,3181.0
2020-03-14,12160,81029.0,0.0,65675.0,3194.0
2020-03-15,10821,81062.0,0.0,67037.0,3204.0
2020-03-16,9951,81099.0,0.0,67930.0,3218.0
2020-03-17,9084,81135.0,0.0,68820.0,3231.0
2020-03-18,8183,81202.0,0.0,69777.0,3242.0
2020-03-19,7452,81263.0,0.0,70561.0,3250.0
2020-03-20,6838,81385.0,0.0,71292.0,3255.0
2020-03-21,6311,81457.0,0.0,71885.0,3261.0
2020-03-22,5909,81566.0,1.0,72390.0,3267.0
2020-03-23,5567,81691.0,1.0,72848.0,3276.0
2020-03-24,5220,81806.0,1.0,73303.0,3283.0
2020-03-25,4813,81896.0,78.0,73796.0,3287.0
2020-03-26,4537,82034.0,124.0,74204.0,3293.0
2020-03-27,4123,82164.0,121.0,74743.0,3298.0
2020-03-28,3857,82282.0,508.0,75124.0,3301.0
2020-03-29,3509,82421.0,264.0,75606.0,3306.0
2020-03-30,3236,82505.0,309.0,75956.0,3313.0
2020-03-31,3048,82601.0,314.0,76239.0,3314.0
2020-04-01,2932,82691.0,301.0,76438.0,3321.0
2020-04-02,2835,82772.0,293.0,76610.0,3327.0
2020-04-03,2716,82857.0,293.0,76810.0,3331.0
2020-04-04,2568,82899.0,294.0,76996.0,3335.0
2020-04-05,2371,82966.0,303.0,77257.0,3338.0
2020-04-06,2332,83039.0,282.0,77367.0,3340.0
2020-04-07,2288,83095.0,282.0,77467.0,3340.0
2020-04-08,2220,83189.0,282.0,77627.0,3342.0
2020-04-09,2174,83264.0,282.0,77746.0,3344.0
2020-04-10,2096,83324.0,327.0,77882.0,3346.0
2020-04-11,2075,83400.0,327.0,77976.0,3349.0
2020-04-12,2109,83523.0,409.0,78065.0,3349.0
2020-04-13,2108,83607.0,415.0,78148.0,3351.0
2020-04-14,2025,83700.0,415.0,78324.0,3351.0
2020-04-15,1965,83752.0,751.0,78435.0,3352.0
2020-04-16,1891,83799.0,761.0,78556.0,3352.0
2020-04-17,1796,84156.0,761.0,77718.0,4642.0
2020-04-18,1752,84186.0,761.0,77792.0,4642.0
2020-04-19,1704,84225.0,762.0,77879.0,4642.0
2020-04-20,1649,84239.0,768.0,77948.0,4642.0
2020-04-21,1620,84278.0,772.0,78016.0,4642.0
2020-04-22,1557,84294.0,1399.0,78095.0,4642.0
2020-04-23,1473,84305.0,1399.0,78190.0,4642.0
2020-04-24,1383,84313.0,1399.0,78288.0,4642.0
2020-04-25,1286,84330.0,1399.0,78402.0,4642.0
2020-04-26,1227,84338.0,1399.0,78469.0,4642.0
2020-04-27,1102,84341.0,1399.0,78596.0,4643.0
2020-04-28,1014,84367.0,1399.0,78710.0,4643.0
2020-04-29,960,84369.0,1399.0,78766.0,4643.0
2020-04-30,915,84373.0,1399.0,78815.0,4643.0
2020-05-01,853,84387.0,1399.0,78891.0,4643.0
2020-05-02,838,84391.0,1415.0,78910.0,4643.0
2020-05-03,785,84393.0,1415.0,78965.0,4643.0
2020-05-04,717,84403.0,1475.0,79043.0,4643.0
2020-05-05,580,84404.0,1475.0,79181.0,4643.0
2020-05-06,530,84407.0,1476.0,79234.0,4643.0
2020-05-07,480,84414.0,1476.0,79291.0,4643.0
2020-05-08,425,84416.0,1476.0,79348.0,4643.0
2020-05-09,356,84416.0,1476.0,79417.0,4643.0
2020-05-10,282,84435.0,1476.0,79510.0,4643.0
2020-05-11,267,84450.0,1476.0,79539.0,4644.0
2020-05-12,227,84451.0,1476.0,79580.0,4644.0
2020-05-13,200,84461.0,1476.0,79617.0,4644.0
2020-05-14,186,84465.0,1476.0,79635.0,4644.0
2020-05-15,167,84471.0,1476.0,79660.0,4644.0
2020-05-16,165,84478.0,1476.0,79669.0,4644.0
2020-05-17,152,84487.0,1476.0,79690.0,4645.0
2020-05-18,144,84494.0,1476.0,79705.0,4645.0
2020-05-19,145,84503.0,1476.0,79713.0,4645.0
2020-05-20,141,84506.0,1476.0,79720.0,4645.0
2020-05-21,143,84516.0,1476.0,79728.0,4645.0
2020-05-22,141,84522.0,1476.0,79736.0,4645.0
2020-05-23,137,84522.0,1476.0,79740.0,4645.0
2020-05-24,131,84525.0,1476.0,79749.0,4645.0
2020-05-25,129,84536.0,1476.0,79762.0,4645.0
2020-05-26,126,84543.0,1476.0,79772.0,4645.0
2020-05-27,120,84545.0,1476.0,79780.0,4645.0
2020-05-28,111,84547.0,1476.0,79791.0,4645.0
2020-05-29,116,84561.0,1489.0,79800.0,4645.0
2020-05-30,119,84569.0,1492.0,79805.0,4645.0
2020-05-31,117,84572.0,1492.0,79810.0,4645.0
2020-06-01,126,84593.0,1492.0,79822.0,4645.0
2020-06-02,132,84603.0,1492.0,79826.0,4645.0
2020-06-03,130,84602.0,1492.0,79827.0,4645.0
2020-06-04,128,84609.0,1492.0,79836.0,4645.0
2020-06-05,124,84617.0,1492.0,79848.0,4645.0
2020-06-06,128,84624.0,1492.0,79851.0,4645.0
2020-06-07,128,84630.0,1492.0,79857.0,4645.0
2020-06-08,126,84635.0,1492.0,79864.0,4645.0
2020-06-09,117,84638.0,1492.0,79876.0,4645.0
2020-06-10,113,84641.0,1492.0,79883.0,4645.0
2020-06-11,119,84652.0,1492.0,79888.0,4645.0
2020-06-12,117,84662.0,1492.0,79900.0,4645.0
2020-06-13,123,84672.0,1492.0,79904.0,4645.0
2020-06-14,188,84739.0,1492.0,79906.0,4645.0
2020-06-15,224,84784.0,1492.0,79915.0,4645.0
2020-06-16,254,84823.0,1492.0,79924.0,4645.0
2020-06-17,304,84879.0,1492.0,79930.0,4645.0
2020-06-18,318,84908.0,1492.0,79945.0,4645.0
2020-06-19,347,84943.0,1492.0,79951.0,4645.0
2020-06-20,359,84971.0,1492.0,79966.0,4646.0
2020-06-21,388,85002.0,1492.0,79968.0,4646.0
2020-06-22,440,85056.0,1492.0,79970.0,4646.0
2020-06-23,452,85086.0,1492.0,79987.0,4647.0
2020-06-24,463,85104.0,1492.0,79994.0,4647.0
2020-06-25,473,85119.0,1492.0,79999.0,4647.0
2020-06-26,491,85151.0,1500.0,80012.0,4648.0
2020-06-27,506,85173.0,1500.0,80019.0,4648.0
2020-06-28,508,85192.0,1500.0,80036.0,4648.0
2020-06-29,511,85204.0,1500.0,80045.0,4648.0
2020-06-30,526,85229.0,1500.0,80055.0,4648.0
2020-07-01,528,85260.0,1500.0,80084.0,4648.0
2020-07-02,538,85273.0,1500.0,80087.0,4648.0
2020-07-03,529,85284.0,1501.0,80107.0,4648.0
2020-07-04,523,85288.0,1501.0,80117.0,4648.0
2020-07-05,515,85317.0,1501.0,80154.0,4648.0
2020-07-06,527,85337.0,1501.0,80162.0,4648.0
2020-07-07,536,85359.0,1501.0,80175.0,4648.0
2020-07-08,543,85390.0,1501.0,80199.0,4648.0
2020-07-09,553,85441.0,1501.0,80240.0,4648.0
2020-07-10,558,85485.0,1504.0,80279.0,4648.0
2020-07-11,567,85518.0,1504.0,80303.0,4648.0
2020-07-12,581,85560.0,1504.0,80331.0,4648.0
2020-07-13,624,85620.0,1504.0,80348.0,4648.0
2020-07-14,634,85671.0,1504.0,80388.0,4649.0
2020-07-15,640,85696.0,1504.0,80407.0,4649.0
2020-07-16,656,85765.0,1504.0,80458.0,4651.0
